tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat_q48,window_width,actual_window_size,predicted_label_hits,jitter_bits,apic_ticks,time_trust_q48,variance_q48
120,1200000,10000,0,0,256,25,157,256,256,0,0,0,65536,0
121,1210000,10000,0,0,256,25,159,256,256,0,0,0,65536,0
122,1220000,10000,0,0,256,25,162,256,256,0,0,0,65536,0
123,1230000,10000,0,0,256,25,164,256,256,0,0,0,65536,0
124,1240000,10000,0,0,256,25,167,256,256,0,0,0,65536,0
125,1250000,10000,0,0,256,25,169,256,256,0,0,0,65536,0
126,1260000,10000,0,0,256,25,172,256,256,0,0,0,65536,0
127,1270000,10000,0,0,256,25,174,256,256,0,0,0,65536,0
128,1280000,10000,0,0,256,25,177,256,256,0,0,0,65536,0
129,1290000,10000,0,0,256,25,179,256,256,0,0,0,65536,0
130,1300000,10000,0,0,256,25,182,256,256,0,0,0,65536,0
131,1310000,10000,0,0,256,25,184,256,256,0,0,0,65536,0
132,1320000,10000,0,0,256,25,187,256,256,0,0,0,65536,0
133,1330000,10000,0,0,256,25,189,256,256,0,0,0,65536,0
134,1340000,10000,0,0,256,25,191,256,256,0,0,0,65536,0
135,1350000,10000,0,0,256,25,194,256,256,0,0,0,65536,0
136,1360000,10000,0,0,256,25,196,256,256,0,0,0,65536,0
137,1370000,10000,0,0,256,25,199,256,256,0,0,0,65536,0
138,1380000,10000,0,0,256,25,201,256,256,0,0,0,65536,0
139,1390000,10000,0,0,256,25,204,256,256,0,0,0,65536,0
140,1400000,10000,0,0,256,25,206,256,256,0,0,0,65536,0
141,1410000,10000,0,0,256,25,209,256,256,0,0,0,65536,0
142,1420000,10000,0,0,256,25,211,256,256,0,0,0,65536,0
143,1430000,10000,0,0,256,25,214,256,256,0,0,0,65536,0
144,1440000,10000,0,0,256,25,216,256,256,0,0,0,65536,0
145,1450000,10000,0,0,256,25,219,256,256,0,0,0,65536,0
146,1460000,10000,0,0,256,25,221,256,256,0,0,0,65536,0
147,1470000,10000,0,0,256,25,223,256,256,0,0,0,65536,0
148,1480000,10000,0,0,256,25,226,256,256,0,0,0,65536,0
149,1490000,10000,0,0,256,25,228,256,256,0,0,0,65536,0
150,1500000,10000,0,0,256,25,231,256,256,0,0,0,65536,0
151,1510000,10000,0,0,256,25,233,256,256,0,0,0,65536,0
152,1520000,10000,0,0,256,25,236,256,256,0,0,0,65536,0
153,1530000,10000,0,0,256,25,238,256,256,0,0,0,65536,0
154,1540000,10000,0,0,256,25,241,256,256,0,0,0,65536,0
155,1550000,10000,0,0,256,25,243,256,256,0,0,0,65536,0
156,1560000,10000,0,0,256,25,246,256,256,0,0,0,65536,0
157,1570000,10000,0,0,256,26,241,256,256,0,0,0,65536,0
