timestamp,run_id,config_bits,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 23:42:51,185,0000011,0,0,0,0,0,1,1,5,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,39,2013,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,123723644928,0,4501,4395,0,1.0000,0.000000,0.000000,0,131072,1,1000,4096,75,10,1,1
2025-11-22 23:42:58,135,0100101,0,1,0,0,1,0,1,15,0,1,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,40,2127,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,131000762368,0,4501,4395,0,1.0000,0.000000,0.000000,0,524288,1,1000,4096,75,10,1,1
2025-11-22 23:43:05,22,0010111,0,0,1,0,1,1,1,22,0,0,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,41,2198,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,130398224384,0,4501,4395,0,1.0000,0.000000,0.000000,0,-65536,1,1000,4096,75,10,1,1
2025-11-22 23:43:11,240,0000000,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3991,0,0.00,3272,81.98,0,0,39,1966,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,130709323776,0,4501,4395,0,1.0000,0.000000,0.000000,0,-10944512,1,1000,4096,75,10,1,1
2025-11-22 23:43:18,191,0000011,0,0,0,0,0,1,1,11,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,39,2074,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,127407685632,0,4501,4395,0,1.0000,0.000000,0.000000,0,-589824,1,1000,4096,75,10,1,1
2025-11-22 23:43:24,124,0100101,0,1,0,0,1,0,1,4,0,1,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,42,2409,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,139393957888,0,4501,4395,0,1.0000,0.000000,0.000000,0,-9502720,1,1000,4096,75,10,1,1
2025-11-22 23:43:31,69,0010010,0,0,1,0,0,1,0,9,0,0,1,0,0,1,0,3991,0,0.00,3272,81.98,0,0,44,2568,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,147156697088,0,4501,4395,0,1.0000,0.000000,0.000000,0,35389440,1,1000,4096,75,10,1,1
2025-11-22 23:43:38,41,0100100,0,1,0,0,1,0,0,11,0,1,0,0,1,0,0,3991,0,0.00,3272,81.98,0,0,37,1800,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,124949168128,0,4501,4395,0,1.0000,0.000000,0.000000,0,-19464192,1,1000,4096,75,10,1,1
2025-11-22 23:43:44,170,1000101,1,0,0,0,1,0,1,20,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,29,982,89,2471116,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,137861464064,0,4501,4395,0,1.0000,0.000000,0.000000,0,327680,1,1000,4096,75,10,1,1
2025-11-22 23:43:51,8,0010111,0,0,1,0,1,1,1,8,0,0,1,0,1,1,1,3991,0,0.00,3272,81.98,0,0,41,2184,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,131845718016,0,4501,4395,0,1.0000,0.000000,0.000000,0,0,1,1000,4096,75,10,1,1
2025-11-22 23:43:58,61,0010010,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,3991,0,0.00,3272,81.98,0,0,42,2445,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,144328097792,0,4501,4395,0,1.0000,0.000000,0.000000,0,-44826624,1,1000,4096,75,10,1,1
