cfg,rep,seed_12345,seed_67890,seed_13579,delta_q48,position_effect
9,12,64512,64512,64512,0,0
9,13,64512,64512,64512,0,0
9,14,63488,64512,64512,1024,1
9,15,64768,64512,64512,256,1
9,16,64768,64512,64512,256,1
9,17,64512,64512,64768,256,1
9,18,64512,64512,64768,256,1
9,19,64512,64512,64512,0,0
9,20,64512,64512,64512,0,0
9,21,64512,64512,64768,256,1
9,22,63232,64512,64512,1280,1
9,23,64512,63232,64512,1280,1
9,24,64768,64768,64512,256,1
9,25,64512,64512,64512,0,0
9,26,64768,64768,64512,256,1
9,27,64512,64512,64512,0,0
9,28,64512,64768,64512,256,1
9,29,64512,64512,64512,0,0
10,0,64512,64512,64512,0,0
10,1,64512,64512,64512,0,0
10,2,64512,63744,64768,1024,1
10,3,64512,64512,64512,0,0
10,4,64512,64512,64512,0,0
10,5,64512,64512,64512,0,0
10,6,64512,64512,64512,0,0
10,7,64512,64768,64512,256,1
10,8,64512,64512,64768,256,1
10,9,63232,63488,64512,1280,1
10,10,64512,64256,63488,1024,1
10,11,64512,64512,64512,0,0
10,12,64768,64512,64512,256,1
10,13,64512,64512,64512,0,0
10,14,64768,64512,64768,256,1
10,15,64768,64512,63744,1024,1
10,16,64512,64512,64512,0,0
10,17,64512,64512,64768,256,1
10,18,64768,64512,64512,256,1
10,19,64512,64512,64512,0,0
10,20,64512,64000,64512,512,1
10,21,64768,64512,64512,256,1
10,22,63488,64512,64512,1024,1
10,23,64512,64512,64512,0,0
10,24,64512,64512,64512,0,0
10,25,64512,64512,64512,0,0
10,26,64512,64512,64512,0,0
10,27,64512,64512,64512,0,0
10,28,64512,64512,64512,0,0
10,29,64512,64768,64512,256,1
11,0,64512,64768,64512,256,1
11,1,64768,64512,64768,256,1
11,2,64512,64768,64512,256,1
11,3,64512,64512,64512,0,0
11,4,64512,64512,64512,0,0
11,5,64768,64512,64512,256,1
11,6,64512,63744,64000,768,1
11,7,64512,64512,64512,0,0
11,8,64512,64512,64512,0,0
11,9,64512,64512,64512,0,0
11,10,64512,64512,64512,0,0
11,11,63488,64512,64512,1024,1
11,12,64512,64512,64512,0,0
11,13,64512,64512,64512,0,0
11,14,64512,64512,64512,0,0
11,15,64512,64512,64512,0,0
11,16,64512,64768,64512,256,1
11,17,64768,64768,64512,256,1
11,18,64512,64512,64512,0,0
11,19,64512,63744,64512,768,1
11,20,63488,64512,64512,1024,1
11,21,64512,64512,64512,0,0
11,22,64512,64512,64512,0,0
11,23,64512,63488,64512,1024,1
11,24,64512,64512,63488,1024,1
11,25,64512,64512,64512,0,0
11,26,64512,64512,64512,0,0
11,27,64512,64512,64512,0,0
11,28,64768,64512,64512,256,1
11,29,64512,64512,64512,0,0
12,0,64512,64512,64512,0,0
12,1,64512,64512,64768,256,1
12,2,64512,63744,64512,768,1
12,3,64768,64512,64512,256,1
12,4,64512,64512,64512,0,0
12,5,64512,64512,64512,0,0
12,6,63488,64512,64768,1280,1
12,7,64512,64512,64512,0,0
12,8,64512,64512,64512,0,0
12,9,64512,64512,63744,768,1
12,10,64512,64512,64512,0,0
12,11,64512,64512,64512,0,0
12,12,64256,64512,64512,256,1
12,13,64512,64768,64512,256,1
12,14,64512,64512,64768,256,1
12,15,64512,64512,64512,0,0
12,16,64512,64512,64512,0,0
12,17,64512,64512,64512,0,0
12,18,64512,64512,64512,0,0
12,19,63744,64512,64768,1024,1
12,20,64512,64512,64512,0,0
12,21,64512,64512,64512,0,0
12,22,64512,64512,64512,0,0
12,23,64512,64512,64512,0,0
12,24,64512,64512,64512,0,0
12,25,64512,64512,64768,256,1
12,26,64512,64768,64512,256,1
12,27,64768,64512,64512,256,1
12,28,64512,64512,64512,0,0
12,29,64512,64512,64512,0,0
13,0,64512,64512,64512,0,0
13,1,64000,64768,64512,768,1
13,2,64512,64512,64512,0,0
13,3,64512,64512,64512,0,0
13,4,64512,64512,64512,0,0
13,5,64512,64512,64512,0,0
13,6,64256,64512,64512,256,1
13,7,64512,64512,64512,0,0
13,8,63232,64768,64512,1536,1
