timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,misses,miss_percent,cache_hit_latency_ns,cache_hit_stddev_ns,cache_hit_min_ns,cache_hit_max_ns,bucket_search_latency_ns,bucket_search_stddev_ns,bucket_search_min_ns,bucket_search_max_ns,context_predictions_total,context_correct,context_accuracy_percent,window_diversity_percent,window_final_size_bytes,total_runtime_ms,memory_allocated_bytes,speedup_vs_baseline,ci_lower_95,ci_upper_95
STANDARD,C_FULL,956,Iterations:,17389,17.39,82611,82.61,0,0.00,29.541,0.000,19.000,8987.000,33.913,0.000,22.000,26453.000,0,0,0,0,0,6.17,0,1.147,0,0
STANDARD,B_CACHE,957,Iterations:,17389,17.39,82611,82.61,0,0.00,29.773,0.000,21.000,126.000,36.356,0.000,26.000,68462.000,0,0,0,0,0,6.34,0,1.221,0,0
STANDARD,B_CACHE,958,Iterations:,17389,17.39,82611,82.61,0,0.00,30.363,0.000,21.000,26283.000,34.700,0.000,26.000,3896.000,0,0,0,0,0,6.24,0,1.142,0,0
STANDARD,B_CACHE,959,Iterations:,17389,17.39,82611,82.61,0,0.00,29.951,0.000,22.000,312.000,37.564,0.000,27.000,60398.000,0,0,0,0,0,6.60,0,1.254,0,0
STANDARD,A_BASELINE,960,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50,0,1.0,0,0
STANDARD,B_CACHE,961,Iterations:,17389,17.39,82611,82.61,0,0.00,30.444,0.000,21.000,4382.000,35.623,0.000,26.000,13302.000,0,0,0,0,0,6.36,0,1.170,0,0
STANDARD,A_BASELINE,962,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,1.0,0,0
STANDARD,A_BASELINE,963,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,1.0,0,0
STANDARD,C_FULL,964,Iterations:,17389,17.39,82611,82.61,0,0.00,29.791,0.000,21.000,369.000,35.664,0.000,26.000,35389.000,0,0,0,0,0,6.41,0,1.197,0,0
STANDARD,C_FULL,965,Iterations:,17389,17.39,82611,82.61,0,0.00,27.693,0.000,19.000,3094.000,32.964,0.000,22.000,555.000,0,0,0,0,0,5.87,0,1.190,0,0
STANDARD,C_FULL,966,Iterations:,17389,17.39,82611,82.61,0,0.00,28.928,0.000,21.000,133.000,34.351,0.000,26.000,4700.000,0,0,0,0,0,6.14,0,1.187,0,0
STANDARD,A_BASELINE,967,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,1.0,0,0
STANDARD,B_CACHE,968,Iterations:,17389,17.39,82611,82.61,0,0.00,32.987,0.000,21.000,2268.000,35.139,0.000,26.000,4062.000,0,0,0,0,0,6.41,0,1.065,0,0
STANDARD,A_BASELINE,969,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,1.0,0,0
STANDARD,A_BASELINE,970,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,1.0,0,0
STANDARD,A_BASELINE,971,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,1.0,0,0
STANDARD,C_FULL,972,Iterations:,17389,17.39,82611,82.61,0,0.00,30.068,0.000,21.000,5782.000,37.681,0.000,26.000,55951.000,0,0,0,0,0,6.60,0,1.253,0,0
