"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"1010010",209,"1","0","1","0","0","1","0",300,34299319.9127661,5796094.15137924,334637.651854722,26840187.9902244,69861332.3190402,16.8985687358249,37,FALSE,FALSE,"1010","010",0.0970561487474095,0.238188361997364,0.257203405499746,0.181735476697382,24,82.03125,FALSE
"0010011",146,"0","0","1","0","0","1","1",300,32634456.3371577,5613227.20905453,324079.824017017,24714526.8838036,67385961.448567,17.2003086279801,32,FALSE,FALSE,"0010","011",0.0373626694701904,0.261170766667591,0.263829752741566,0.171647527788631,25,81.25,FALSE
"0100000",159,"0","1","0","0","0","0","0",300,32011835.847465,5522716.80054338,318854.203145179,25457379.8462564,69013324.7260609,17.2521089601324,15,FALSE,FALSE,"0100","000",0.0150386881881449,0.26511620519437,0.265542396613203,0.16508519839188,26,80.46875,FALSE
"0000000",127,"0","0","0","0","0","0","0",300,31672085.5849159,5490901.25246569,317017.331620472,25350623.5805377,74927391.7938236,17.3367214411695,2,FALSE,FALSE,"0000","000",0.00285698420108325,0.271560822992362,0.271575851177925,0.164079287475851,27,79.6875,FALSE
"1100110",229,"1","1","0","0","1","1","0",300,34375984.7535629,5903600.08348922,340844.50973904,27219134.8766941,86639057.9302377,17.1736173547067,44,FALSE,FALSE,"1100","110",0.0998049572098244,0.259137791713067,0.27769304020371,0.19540465791177,28,78.90625,FALSE
"0110110",181,"0","1","1","0","1","1","0",300,31966332.3238984,5583029.99620816,322336.387120454,25323206.4981115,71325197.7640524,17.465344286727,13,FALSE,FALSE,"0110","110",0.0134071649325102,0.281357546472721,0.281676802432641,0.174177393856637,29,78.125,FALSE
"1100100",227,"1","1","0","0","1","0","0",300,34281084.5195527,5916309.70582133,341578.300126514,26986926.8944679,80004400.6291935,17.2582337715917,34,FALSE,FALSE,"1100","100",0.0964023209606517,0.265582709289937,0.282537754929114,0.197910553958223,30,77.34375,FALSE
"0110111",182,"0","1","1","0","1","1","1",300,31908687.7746279,5592150.46214261,322862.957466693,25929643.8231504,77780370.001333,17.5254792727302,6,FALSE,FALSE,"0110","111",0.0113403266895823,0.285937804566182,0.28616259554588,0.176098813415542,31,76.5625,FALSE
"1000000",191,"1","0","0","0","0","0","0",300,34478201.6939406,6012295.77362531,347120.058335022,26254513.6814041,71556357.4032437,17.437962185487,50,FALSE,FALSE,"1000","000",0.103469933068274,0.279271953722874,0.297823523559413,0.208951145461034,32,75.78125,FALSE
"1010000",207,"1","0","1","0","0","0","0",300,34863777.3116611,6055582.97149504,349619.245869278,26789969.4467896,72913277.2983781,17.3692681586444,58,FALSE,FALSE,"1010","000",0.117294699543683,0.274039785340866,0.298086984772416,0.211341751021993,33,75,FALSE
"1000100",195,"1","0","0","0","1","0","0",300,34451243.8925394,6019548.93665162,347538.819897594,27052579.3770273,75521278.1230838,17.4726606546569,49,FALSE,FALSE,"1000","100",0.102503364405906,0.281914806990312,0.299971495504014,0.21015022995655,34,74.21875,FALSE
"0000010",129,"0","0","0","0","0","1","0",300,32378247.2691639,5833603.92905132,336803.279878344,25410932.4256832,69490830.4181293,18.0170466935901,26,FALSE,FALSE,"0000","010",0.0281763247660403,0.323378665660837,0.324603861162964,0.205297729302918,35,73.4375,FALSE
"0110101",180,"0","1","1","0","1","0","1",300,31956730.6179901,5780200.0196809,333720.003733265,25398177.5854255,80673534.6918463,18.0875825151742,10,FALSE,FALSE,"0110","101",0.0130628969449938,0.328751116694124,0.329010540871002,0.202475828794472,36,72.65625,FALSE
