"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst"
"0011100",155,"0","0","1","1","1","0","0",300,52243239.0117989,9237712.10653801,533339.557140599,41646344.3608087,105495735.141524,17.6821197943943,111,FALSE,FALSE
"0011101",156,"0","0","1","1","1","0","1",300,46610687.0907384,7509126.99258465,433539.649054783,37849930.2235059,106357356.633637,16.1103117359468,68,FALSE,FALSE
"0011110",157,"0","0","1","1","1","1","0",300,47493616.252104,8965279.4775763,517610.65197389,37363469.9346812,130180457.050433,18.8768095273839,71,FALSE,FALSE
"0011111",158,"0","0","1","1","1","1","1",300,52104332.4919203,10627806.0446834,613596.668079308,41933459.3094868,144410359.639191,20.3971637988672,110,FALSE,FALSE
"0100000",159,"0","1","0","0","0","0","0",300,32011835.847465,5522716.80054338,318854.203145179,25457379.8462564,69013324.7260609,17.2521089601324,15,FALSE,FALSE
"0100001",160,"0","1","0","0","0","0","1",300,32621872.5806591,7643761.95617098,441312.802301673,25400929.485892,121983754.067096,23.431401545915,31,FALSE,FALSE
"0100010",161,"0","1","0","0","0","1","0",300,32255681.9904792,5169329.317979,298451.3673265,26063030.9140191,56662285.8209287,16.0261045464946,19,FALSE,FALSE
"0100011",162,"0","1","0","0","0","1","1",300,31592403.7002266,4778673.39058253,275896.836842213,25480559.8755832,61699399.3796934,15.1260202798316,1,TRUE,FALSE
"0100100",163,"0","1","0","0","1","0","0",300,32304223.3791957,7587553.48562899,438067.604741858,25004714.0599867,121714737.59609,23.4878065216558,23,FALSE,FALSE
"0100101",164,"0","1","0","0","1","0","1",300,31962112.015167,6298255.53226419,363629.952697778,25112722.5132193,97222910.8055988,19.7053796985489,11,FALSE,FALSE
"0100110",165,"0","1","0","0","1","1","0",300,32002505.8371266,4833260.77511982,279048.440957909,25256243.5867585,50645583.0579871,15.1027572644411,14,FALSE,FALSE
"0100111",166,"0","1","0","0","1","1","1",300,31955625.8779827,5378161.60376251,310508.304967759,25338363.7911575,66962838.551433,16.8300931557346,9,FALSE,FALSE
"0101000",167,"0","1","0","1","0","0","0",300,48923598.4736784,7794265.37951789,450002.121500004,39450851.9600089,86946193.318818,15.9315046780774,85,FALSE,FALSE
"0101001",168,"0","1","0","1","0","0","1",300,49321253.7210872,9388956.25556972,542071.64215628,39090440.3608087,143883450.781604,19.0363292641839,93,FALSE,FALSE
"0101010",169,"0","1","0","1","0","1","0",300,48690843.6543701,8840299.52546963,510394.931074681,38840294.0644301,102024977.119751,18.1559793628184,80,FALSE,FALSE
"0101011",170,"0","1","0","1","0","1","1",300,49543886.0603777,8305721.49989227,479531.054377686,39267202.6447456,108472476.068429,16.7643722774801,96,FALSE,FALSE
"0101100",171,"0","1","0","1","1","0","0",300,49094334.8236096,8040127.1038045,464196.954770033,38972574.5709842,96229664.0213286,16.3768938568814,87,FALSE,FALSE
"0101101",172,"0","1","0","1","1","0","1",300,48406235.5074398,6666193.71044118,384872.87331934,40591259.8978005,76151841.8982448,13.771353298929,75,FALSE,FALSE
"0101110",173,"0","1","0","1","1","1","0",300,50272141.962361,12920664.6517985,745974.921482474,39354069.5134415,177087677.966674,25.7014404945631,98,FALSE,FALSE
"0101111",174,"0","1","0","1","1","1","1",300,48916456.0058061,7727244.36587916,446132.661473435,38882941.2415019,105283096.229282,15.7968197143349,84,FALSE,FALSE
"0110000",175,"0","1","1","0","0","0","0",300,31923186.4073347,5800203.81224262,334874.923235297,24959591.628527,71349324.2141746,18.1692508330245,8,FALSE,FALSE
"0110001",176,"0","1","1","0","0","0","1",300,32293074.9790358,4647417.40341175,268318.768889633,25273439.3245945,44096118.1888469,14.3913746412467,21,FALSE,FALSE
"0110010",177,"0","1","1","0","0","1","0",300,32333812.6672177,5531892.79952513,319383.979693398,25789646.347034,57850728.2541657,17.1086931703967,24,FALSE,FALSE
"0110011",178,"0","1","1","0","0","1","1",300,32081170.6349345,6140739.46615961,354535.758381061,25601425.091313,91914247.28016,19.1412574560877,17,FALSE,FALSE
"0110100",179,"0","1","1","0","1","0","0",300,32301658.7729779,6776133.13717601,391220.229081331,25865971.5441013,89967648.9882248,20.9776630506809,22,FALSE,FALSE
"0110101",180,"0","1","1","0","1","0","1",300,31956730.6179901,5780200.0196809,333720.003733265,25398177.5854255,80673534.6918463,18.0875825151742,10,FALSE,FALSE
"0110110",181,"0","1","1","0","1","1","0",300,31966332.3238984,5583029.99620816,322336.387120454,25323206.4981115,71325197.7640524,17.465344286727,13,FALSE,FALSE
"0110111",182,"0","1","1","0","1","1","1",300,31908687.7746279,5592150.46214261,322862.957466693,25929643.8231504,77780370.001333,17.5254792727302,6,FALSE,FALSE
"0111000",183,"0","1","1","1","0","0","0",300,48443181.6397778,7106682.88664875,410304.527765196,39769111.4330149,73370282.0599867,14.6701406598226,76,FALSE,FALSE
"0111001",184,"0","1","1","1","0","0","1",300,49045611.1396875,7459335.3334243,430664.926272821,38478979.7253944,79258111.4312375,15.2089762164025,86,FALSE,FALSE
"0111010",185,"0","1","1","1","0","1","0",300,48325534.8856995,7430863.61806329,429021.111020024,40176363.5814264,92494927.3992446,15.3766815734972,74,FALSE,FALSE
"0111011",186,"0","1","1","1","0","1","1",300,50433431.2855158,12764357.9467252,736950.549657453,38914915.7040658,155691535.356587,25.3093188810872,99,FALSE,FALSE
"0111100",187,"0","1","1","1","1","0","0",300,49186520.285969,9880750.82615629,570465.414927695,38879854.453677,152716148.539436,20.0883306416268,90,FALSE,FALSE
"0111101",188,"0","1","1","1","1","0","1",300,49515733.9244672,9276285.64097838,535566.601189872,38547413.2290602,114571022.389691,18.7340162525486,95,FALSE,FALSE
"0111110",189,"0","1","1","1","1","1","0",300,49236791.5862964,10029172.22426,579034.528342564,39625823.3245945,154643177.761386,20.3692643268237,92,FALSE,FALSE
"0111111",190,"0","1","1","1","1","1","1",300,48497677.7140013,6951940.93513908,401370.497029293,38687104.9384581,73623602.5061098,14.3345852066068,78,FALSE,FALSE
"1000000",191,"1","0","0","0","0","0","0",300,34478201.6939406,6012295.77362531,347120.058335022,26254513.6814041,71556357.4032437,17.437962185487,50,FALSE,FALSE
"1000001",192,"1","0","0","0","0","0","1",300,34430119.0523706,6615947.66442143,381971.916499819,26755476.048878,83625057.1446345,19.2155817247048,47,FALSE,FALSE
"1000010",193,"1","0","0","0","0","1","0",300,34304223.1005021,6144578.76945653,354757.420660259,27434540.2497223,94106376.2470562,17.9120184458181,38,FALSE,FALSE
"1000011",194,"1","0","0","0","0","1","1",300,34336269.685184,6468649.63761287,373467.660956917,27034247.9342368,92555105.2015108,18.8391158880141,42,FALSE,FALSE
"1000100",195,"1","0","0","0","1","0","0",300,34451243.8925394,6019548.93665162,347538.819897594,27052579.3770273,75521278.1230838,17.4726606546569,49,FALSE,FALSE
"1000101",196,"1","0","0","0","1","0","1",300,34327194.7231163,5540282.84462755,319868.379173238,26911941.246834,60310752.5474339,16.1396318263568,41,FALSE,FALSE
"1000110",197,"1","0","0","0","1","1","0",300,34310624.5936933,5520379.55036902,318719.261943446,27340466.0226616,63425204.9802266,16.0894172453618,39,FALSE,FALSE
"1000111",198,"1","0","0","0","1","1","1",300,34366301.6069318,7143004.52969828,412401.558804402,27107879.4721173,112713242.049322,20.7849090408306,43,FALSE,FALSE
"1001000",199,"1","0","0","1","0","0","0",300,56438137.072852,9741123.30727665,562404.016366551,44704404.6745168,116976809.491224,17.2598243182664,118,FALSE,FALSE
"1001001",200,"1","0","0","1","0","0","1",300,48784010.870568,7507756.28151561,433460.511014314,38687206.8606976,82236221.0282159,15.3897888827446,81,FALSE,FALSE
"1001010",201,"1","0","0","1","0","1","0",300,47926624.0048345,8873750.2873771,512326.211713869,39776988.5660964,137669091.675628,18.5152834601535,72,FALSE,FALSE
"1001011",202,"1","0","0","1","0","1","1",300,56229907.4622943,9046842.47170161,522319.693635306,45576320.3128194,100808375.027772,16.0890225148745,117,FALSE,FALSE
"1001100",203,"1","0","0","1","1","0","0",300,48472771.3160749,8366814.36054006,483058.252331743,38911683.3130415,123903124.560764,17.2608541524949,77,FALSE,FALSE
"1001101",204,"1","0","0","1","1","0","1",300,57312214.675992,12948194.3359557,747564.348538362,45178241.1659631,182478971.307709,22.5923817621721,124,FALSE,FALSE
"1001110",205,"1","0","0","1","1","1","0",300,56660615.7522328,9365909.41474448,540741.032180837,45064859.9546767,110862406.98156,16.5298405080877,121,FALSE,FALSE
"1001111",206,"1","0","0","1","1","1","1",300,48146680.6235296,7144414.9497857,412482.989446116,38958028.8113753,88870907.4499,14.8388525590156,73,FALSE,FALSE
"1010000",207,"1","0","1","0","0","0","0",300,34863777.3116611,6055582.97149504,349619.245869278,26789969.4467896,72913277.2983781,17.3692681586444,58,FALSE,FALSE
"1010001",208,"1","0","1","0","0","0","1",300,34423368.1600356,5170285.43489762,298506.568762534,27130215.0028882,51407000.4283493,15.0196965353906,46,FALSE,FALSE
"1010010",209,"1","0","1","0","0","1","0",300,34299319.9127661,5796094.15137924,334637.651854722,26840187.9902244,69861332.3190402,16.8985687358249,37,FALSE,FALSE
"1010011",210,"1","0","1","0","0","1","1",300,35164644.8222528,6930742.83591813,400146.62420014,27478046.4856699,81291838.6776272,19.7094066240425,63,FALSE,FALSE
"1010100",211,"1","0","1","0","1","0","0",300,34944022.6807317,9210758.45239561,531783.387193122,26965377.6209731,154515978.806487,26.3586094152648,60,FALSE,FALSE
"1010101",212,"1","0","1","0","1","0","1",300,34290417.9758335,6670593.48620646,385126.894491587,27238791.3085981,103900943.299711,19.4532288609244,35,FALSE,FALSE
"1010110",213,"1","0","1","0","1","1","0",300,34615618.0621432,5751845.87215154,332082.976262393,27580827.784048,74139096.0728727,16.6163315698296,52,FALSE,FALSE
"1010111",214,"1","0","1","0","1","1","1",300,34730300.1894809,7874827.77402986,454653.393515808,27186490.6394135,135950537.114419,22.6742289328527,56,FALSE,FALSE
"1011000",215,"1","0","1","1","0","0","0",300,49160858.2074383,9307728.33003371,537381.945688887,39199686.4412353,125783997.56854,18.9332096090735,89,FALSE,FALSE
"1011001",216,"1","0","1","1","0","0","1",300,56439978.0797038,8979503.80026583,518431.893627274,45034050.3177072,100803788.526994,15.9098286459025,119,FALSE,FALSE
"1011010",217,"1","0","1","1","0","1","0",300,56893947.4514167,9973721.73934883,575833.093103547,44700458.827816,132587904.028438,17.5303739433191,122,FALSE,FALSE
"1011011",218,"1","0","1","1","0","1","1",300,57173982.9298734,10362356.1814544,598270.913080151,45546733.7427238,143186899.636525,18.1242510149492,123,FALSE,FALSE
"1011100",219,"1","0","1","1","1","0","0",300,56451744.8566511,10351959.6653913,597670.669945383,44676667.2650522,146069114.966452,18.3377142578644,120,FALSE,FALSE
"1011101",220,"1","0","1","1","1","0","1",300,49214360.7824987,8593277.68811448,496133.11864541,39574629.2397245,124218413.728505,17.4609149676701,91,FALSE,FALSE
"1011110",221,"1","0","1","1","1","1","0",300,48852261.4480812,6822127.10860543,393875.692259919,38988124.9926683,70910811.0588758,13.96481330932,83,FALSE,FALSE
"1011111",222,"1","0","1","1","1","1","1",300,48646619.0122373,7444262.14215384,429794.675169066,39678677.2859365,84798779.0944235,15.3027328379824,79,FALSE,FALSE
"1100000",223,"1","1","0","0","0","0","0",300,34317680.913006,5665280.38120577,327085.115312386,27048240.4016885,65692567.1201955,16.5083427273744,40,FALSE,FALSE
"1100001",224,"1","1","0","0","0","0","1",300,35584010.8171043,7085440.28982022,409078.085865473,27028860.6158631,75456499.2597201,19.9118652650994,64,FALSE,FALSE
"1100010",225,"1","1","0","0","0","1","0",300,34738622.0432674,7159936.09838244,413379.103378162,26738091.0268829,88357801.7756054,20.6108811381886,57,FALSE,FALSE
"1100011",226,"1","1","0","0","0","1","1",300,34706472.7112612,6499049.27167392,375222.784647758,27259772.7296156,74716383.6374139,18.7257556414403,55,FALSE,FALSE
"1100100",227,"1","1","0","0","1","0","0",300,34281084.5195527,5916309.70582133,341578.300126514,26986926.8944679,80004400.6291935,17.2582337715917,34,FALSE,FALSE
"1100101",228,"1","1","0","0","1","0","1",300,34680813.7389321,5582067.84513899,322280.837302575,27096274.897134,59714449.2050655,16.0955503730659,54,FALSE,FALSE
