timestamp,run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 09:00:21,1296,0,1,0,1,0,1,1,6,0,1,0,1,0,1,1,3991,294,7.37,2978,74.62,61,5426,65,7821,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,359848673280,0,4501,4395,0,1.0000,0.000000,0.000000,0,-46268416,1,1000,4096,75,10,1,1
2025-11-22 09:00:27,1528,0,1,1,0,0,1,0,28,0,1,1,0,0,1,0,3991,0,0.00,3272,81.98,0,0,39,2230,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,132177526784,0,4501,4395,0,1.0000,0.000000,0.000000,0,9109504,1,1000,4096,75,10,1,1
2025-11-22 09:00:35,1264,0,1,0,1,0,1,0,4,0,1,0,1,0,1,0,3991,294,7.37,2978,74.62,40,1884,46,2933,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,203815518208,0,4501,4395,0,1.0000,0.000000,0.000000,0,1966080,1,1000,4096,75,10,1,1
2025-11-22 09:00:42,1104,0,1,0,0,1,0,0,24,0,1,0,0,1,0,0,3991,0,0.00,3272,81.98,0,0,39,1931,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,131339583488,0,4501,4395,0,1.0000,0.000000,0.000000,0,-14417920,1,1000,4096,75,10,1,1
2025-11-22 09:00:49,808,0,0,1,1,0,1,0,28,0,0,1,1,0,1,0,3991,294,7.37,2978,74.62,40,1801,49,3240,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,232261091328,0,4501,4395,0,1.0000,0.000000,0.000000,0,42401792,1,1000,4096,75,10,1,1
2025-11-22 09:00:57,388,0,0,0,1,1,0,0,28,0,0,0,1,1,0,0,3991,294,7.37,2978,74.62,37,1589,44,2631,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,185903415296,0,4501,4395,0,1.0000,0.000000,0.000000,0,655360,1,1000,4096,75,10,1,1
2025-11-22 09:01:04,2762,1,0,1,1,1,0,0,2,1,0,1,1,1,0,0,3991,1242,31.12,2030,50.86,39,1735,66,5737,851,752,88.37,15,0,0.00,4096,4096,0,0,0.333328,518,8,25,0.087719,1.817544,0,1000000,0,0,88.37,851,752,0,4096,247793844224,0,4501,4395,0,1.0000,0.000000,0.000000,0,2686976,1,1000,4096,75,10,1,1
2025-11-22 09:01:11,1964,1,0,0,0,0,0,1,14,1,0,0,0,0,0,1,3991,1327,33.25,1945,48.73,31,1115,58,4673,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.077193,2.849123,0,1000000,0,0,0.00,0,0,0,4096,143845031936,0,4501,4395,0,1.0000,0.000000,0.000000,0,65536,1,1000,4096,75,10,1,1
2025-11-22 09:01:18,3696,1,1,1,1,0,1,1,6,1,1,1,1,0,1,1,3991,1250,31.32,2022,50.66,31,1088,49,3282,851,752,88.37,15,0,0.00,4096,4096,1630,0,0.333328,540,8,25,0.087719,1.894737,0,1000000,0,0,88.37,851,752,0,4096,193918205952,0,4501,4395,0,1.0000,0.000000,0.000000,0,-262144,1,1000,4096,75,10,1,1
2025-11-22 09:01:25,1311,0,1,0,1,0,1,1,21,0,1,0,1,0,1,1,3991,294,7.37,2978,74.62,39,1693,43,2632,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,190131470336,0,4501,4395,0,1.0000,0.000000,0.000000,0,2228224,1,1000,4096,75,10,1,1
