"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst"
"1000110",197,"1","0","0","0","1","1","0",30,35219013.8819522,7445555.14330261,1359366.16837848,28761160.1190846,64405187.3130415,21.1407257689235,51,FALSE,FALSE
"1000111",198,"1","0","0","0","1","1","1",30,34893718.3770125,6212772.87309283,1134291.94908304,28796978.5061098,57832775.3796934,17.8048461501475,44,FALSE,FALSE
"1001000",199,"1","0","0","1","0","0","0",30,55476862.2273569,7519596.62991738,1372884.23251519,46283879.0597645,75088632.7767163,13.5544735733257,118,FALSE,FALSE
"1001001",200,"1","0","0","1","0","0","1",30,56384058.9768792,8424148.8794948,1538032.12302706,45334138.5114419,74923970.1186403,14.9406570444834,121,FALSE,FALSE
"1001010",201,"1","0","0","1","0","1","0",30,60312859.4257276,14745694.3115021,2692183.1334951,45748466.9753388,109338392.854921,24.4486738846476,127,FALSE,FALSE
"1001011",202,"1","0","0","1","0","1","1",30,55163242.6429682,8127475.59726859,1483867.24006559,44873974.1604088,77835582.7345034,14.7334986267429,117,FALSE,FALSE
"1001100",203,"1","0","0","1","1","0","0",30,47842229.8182034,8262233.51345771,1508470.55689865,41174458.9522328,80016092.5660964,17.2697500615116,77,FALSE,FALSE
"1001101",204,"1","0","0","1","1","0","1",30,48716748.3563652,7191767.20447063,1313031.04207148,39536350.1586314,64246174.059098,14.7624122034224,83,FALSE,FALSE
"1001110",205,"1","0","0","1","1","1","0",30,50958609.5520107,17562242.9950415,3206412.21625711,41330749.4263497,131047757.067318,34.4637405718786,99,FALSE,FALSE
"1001111",206,"1","0","0","1","1","1","1",30,49279762.4392802,10514567.2532695,1919688.55567362,41249764.9269051,96820288.8389247,21.3364812101621,88,FALSE,FALSE
"1010000",207,"1","0","1","0","0","0","0",30,34183829.0081908,5351415.91644128,977030.404009024,28283639.8666963,46537767.3583648,15.6548171217421,38,FALSE,FALSE
"1010001",208,"1","0","1","0","0","0","1",30,35201090.6134637,4910239.77916928,896483.029936733,28955336.5456565,45978432.6682959,13.9491126371273,50,FALSE,FALSE
"1010010",209,"1","0","1","0","0","1","0",30,34611917.4597645,4702120.31903041,858485.788945447,27649130.2448345,44941461.2432793,13.585263874781,41,FALSE,FALSE
"1010011",210,"1","0","1","0","0","1","1",30,36244098.2617789,7755281.82296993,1415914.26475014,29242407.8133748,63525423.6622973,21.3973645225111,57,FALSE,FALSE
"1010100",211,"1","0","1","0","1","0","0",30,35849395.6531141,6952420.35932595,1269332.486687,29228808.4745612,58215755.4747834,19.393410217006,55,FALSE,FALSE
"1010101",212,"1","0","1","0","1","0","1",30,36964968.053203,7985344.8301979,1457917.83098555,28972386.6802933,61609795.1708509,21.6024664723225,60,FALSE,FALSE
