"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"0110000",175,"0","1","1","0","0","0","0",30,31850130.0506258,7185837.7655008,1311948.4795791,27115625.5623195,58876488.2328371,22.5614079254273,18,FALSE,FALSE,"0110","000",0.0590960321907015,0.301758839477454,0.307491037631122,0.204693716562753,47,64.0625,FALSE
"1000110",197,"1","0","0","0","1","1","0",30,35219013.8819522,7445555.14330261,1359366.16837848,28761160.1190846,64405187.3130415,21.1407257689235,51,FALSE,FALSE,"1000","110",0.167526046284264,0.265806504150889,0.314194324952813,0.226494321004239,48,63.28125,FALSE
"1000100",195,"1","0","0","0","1","0","0",30,37042175.605658,7477031.96430709,1365113.02334605,28032314.1844035,61111235.2561653,20.1851857836477,61,FALSE,FALSE,"1000","100",0.226205852800013,0.241625237559127,0.330986167787244,0.235457483655481,49,62.5,FALSE
"1010011",210,"1","0","1","0","0","1","1",30,36244098.2617789,7755281.82296993,1415914.26475014,29242407.8133748,63525423.6622973,21.3973645225111,57,FALSE,FALSE,"1010","011",0.200519144092548,0.272301104286839,0.338165371591238,0.243588320209123,50,61.71875,FALSE
"1010101",212,"1","0","1","0","1","0","1",30,36964968.053203,7985344.8301979,1457917.83098555,28972386.6802933,61609795.1708509,21.6024664723225,60,FALSE,FALSE,"1010","101",0.223720870705059,0.277491494017571,0.356444325584142,0.255983244692566,51,60.9375,FALSE
"1110001",240,"1","1","1","0","0","0","1",30,34974285.9659631,8135475.19087259,1485327.75935485,29116446.4856699,70402189.9631193,23.2613046018724,45,FALSE,FALSE,"1110","001",0.159649297572115,0.319470697045528,0.357140622844875,0.255542137256163,52,60.15625,FALSE
"1000010",193,"1","0","0","0","0","1","0",30,35296283.5584389,8174912.99621141,1492528.08455571,26948443.9688958,59804956.1537436,23.1608321671501,53,FALSE,FALSE,"1000","010",0.170013027887058,0.316928102526637,0.359649623692921,0.258162072670805,53,59.375,FALSE
"1100011",226,"1","1","0","0","0","1","1",30,35246392.6222025,8409975.91519598,1535444.50560933,28527539.7858254,69419572.2123972,23.8605295167096,52,FALSE,FALSE,"1100","011",0.16840725125892,0.334634915851005,0.374621848245927,0.268143850014171,54,58.59375,FALSE
"1000000",191,"1","0","0","0","0","0","0",30,35171213.3223136,8667795.7971569,1582515.76065044,27915598.6598534,72640897.3934681,24.6445742935397,48,FALSE,FALSE,"1000","000",0.165987549970708,0.354476257982735,0.391414466031496,0.279080774777924,55,57.8125,FALSE
"0000111",134,"0","0","0","0","1","1","1",30,34486997.1949345,8648006.94139247,1578902.82642064,25997888.0426572,66874617.5729838,25.0761378049543,39,FALSE,FALSE,"0000","111",0.143965548604888,0.365397572089522,0.392735871641519,0.276824762695668,56,57.03125,FALSE
"0010110",149,"0","0","1","0","1","1","0",30,34538063.6343331,9250245.68862916,1688856.0753757,26928117.7622751,73171358.969118,26.7827570953741,40,FALSE,FALSE,"0010","110",0.145609159670433,0.40858594376229,0.43375626891153,0.303395230125547,57,56.25,FALSE
"0011100",155,"0","0","1","1","1","0","0",30,44012520.5973191,5257771.35384518,959933.32423516,36598936.6558543,59870695.9982226,11.9460809844311,65,FALSE,FALSE,"0011","100",0.450551554083883,0.0331232463318262,0.451767475959659,0.200094569432649,58,55.46875,FALSE
"0000100",131,"0","0","0","0","1","0","0",30,31691589.0363919,9209882.08333933,1681486.72300254,25139557.1828483,77029945.6725172,29.0609665320457,16,FALSE,FALSE,"0000","100",0.0539932725621458,0.46623919803623,0.469355156856125,0.301340827846596,59,54.6875,FALSE
"1110111",246,"1","1","1","0","1","1","1",30,35183006.210768,9916412.89260941,1810481.01027241,28006789.9435681,73186530.8224839,28.1852347499925,49,FALSE,FALSE,"1110","111",0.166367112794877,0.444077588882225,0.474218221040856,0.332993398447286,60,53.90625,FALSE
"1100111",230,"1","1","0","0","1","1","1",30,34779577.6023698,9907391.88317282,1808834.00681911,28419575.0135525,78777460.7100644,28.4862340665625,43,FALSE,FALSE,"1100","111",0.153382465094178,0.451694794682164,0.477026590601959,0.332369862846969,61,53.125,FALSE
"1110110",245,"1","1","1","0","1","1","0",30,36819329.4238021,10242748.4061285,1870061.45096223,28839844.0879804,80665599.317485,27.8189433822416,59,FALSE,FALSE,"1110","110",0.219033383861,0.434808077035174,0.486861055230983,0.348498199765505,62,52.34375,FALSE
"0011110",157,"0","0","1","1","1","1","0",30,45438949.0330741,7284404.37564208,1329944.19817617,39658584.0444346,68244991.2037325,16.0311902688152,66,FALSE,FALSE,"0011","110",0.496462206732146,0.136502611072545,0.514886089871318,0.280486449336385,63,51.5625,FALSE
"1011100",219,"1","0","1","1","1","0","0",30,46030622.1937051,5665364.79704344,1034349.36527879,40124092.0328816,62073526.8002666,12.3078171161853,68,FALSE,FALSE,"1011","100",0.515505644368504,0.0422774816046658,0.51723636262991,0.231568746710201,64,50.78125,FALSE
"0011111",158,"0","0","1","1","1","1","1",30,45797479.9242835,6772543.23827825,1236491.56776136,37348050.5558765,61913727.2890469,14.7880259994114,67,FALSE,FALSE,"0011","111",0.50800178824734,0.105042612454979,0.518748269677945,0.266226282771923,65,50,FALSE
"0001111",142,"0","0","0","1","1","1","1",30,46479458.1304895,6682301.51571965,1220015.75873687,40141200.408798,68163788.299489,14.3768920389719,70,FALSE,FALSE,"0001","111",0.529951760467459,0.0946382965126768,0.538335653277191,0.26876368209459,66,49.21875,FALSE
"0101111",174,"0","1","0","1","1","1","1",30,47014924.0880989,6131421.46930309,1119439.28276959,41109286.9602311,64357778.911353,13.0414364975124,74,FALSE,FALSE,"0101","111",0.547186127764521,0.0608427390612991,0.550558350508292,0.255380094542588,67,48.4375,FALSE
"1100000",223,"1","1","0","0","0","0","0",30,35079114.9306673,11036902.6708791,2015053.51927651,27973111.9235725,89363148.1857365,31.4628880822484,47,FALSE,FALSE,"1100","000",0.163023295219225,0.527023159181699,0.551661132488046,0.381423213596709,68,47.65625,FALSE
"0111001",184,"0","1","1","1","0","0","1",30,46941149.3737392,8086751.83699742,1476432.13268994,38777073.1552988,76132054.4234615,17.2274261386567,72,FALSE,FALSE,"0111","001",0.544811634098876,0.166775021354689,0.569766289277757,0.317989666452364,69,46.875,FALSE
"1011101",220,"1","0","1","1","1","0","1",30,47432041.8239502,7042814.72458839,1285836.16432887,38561784.26483,62300391.1450789,14.8482216952174,76,FALSE,FALSE,"1011","101",0.560611370141971,0.10656594815039,0.570649988730088,0.288184116947022,70,46.09375,FALSE
"0111011",186,"0","1","1","1","0","1","1",30,47904293.1819003,6547608.29645337,1195424.25389183,41073614.1764052,64935852.7331704,13.6681033401141,78,FALSE,FALSE,"0111","011",0.575811128863859,0.0767014139662478,0.580897205216115,0.276345299925292,71,45.3125,FALSE
"0001101",140,"0","0","0","1","1","0","1",30,46568098.9314967,9426468.76599403,1721029.86025094,38682474.7567207,86024816.273717,20.242331085623,71,FALSE,FALSE,"0001","101",0.532804730110727,0.243071378801593,0.585631774770523,0.358964719325247,72,44.53125,FALSE
"0001110",141,"0","0","0","1","1","1","0",30,47390608.4922165,8889183.54518374,1622935.44850029,36626280.9366807,71459371.1121973,18.75726821833,75,FALSE,FALSE,"0001","110",0.559277807760849,0.205489800162399,0.595833638043845,0.347005003201779,73,43.75,FALSE
"0101010",169,"0","1","0","1","0","1","0",30,48183959.0709028,7402906.27598175,1351579.58615059,40497331.2739391,67037532.9926683,15.3638397896868,79,FALSE,FALSE,"0101","010",0.584812382039777,0.119614380234894,0.596919694888698,0.305693580956847,74,42.96875,FALSE
"0001100",139,"0","0","0","1","1","0","0",30,46984750.2517663,9479929.62589313,1730790.43322106,37510922.2946012,84417691.8409242,20.1766095916127,73,FALSE,FALSE,"0001","100",0.546214960558224,0.241408205107177,0.597183978879784,0.363330907287595,75,42.1875,FALSE
"1001100",203,"1","0","0","1","1","0","0",30,47842229.8182034,8262233.51345771,1508470.55689865,41174458.9522328,80016092.5660964,17.2697500615116,77,FALSE,FALSE,"1001","100",0.573813573668344,0.167846087011318,0.597858115484808,0.330233081674128,76,41.40625,FALSE
"0101001",168,"0","1","0","1","0","0","1",30,48390262.7879434,6954900.69138702,1269785.33129365,39080917.9115752,62695223.340591,14.3725210211503,82,FALSE,FALSE,"0101","001",0.591452419531799,0.0945276818352672,0.598958635636192,0.29329757691388,77,40.625,FALSE
"0101110",173,"0","1","0","1","1","1","0",30,48354816.6597645,7732832.28090653,1411815.55788554,39136494.6527438,65200501.1081982,15.9918552381586,81,FALSE,FALSE,"0101","110",0.590311559718746,0.135507183484626,0.605664869637917,0.317428933978274,78,39.84375,FALSE
"1001101",204,"1","0","0","1","1","0","1",30,48716748.3563652,7191767.20447063,1313031.04207148,39536350.1586314,64246174.059098,14.7624122034224,83,FALSE,FALSE,"1001","101",0.601960598667019,0.104394419769397,0.610945789106157,0.303420891328446,79,39.0625,FALSE
"0101100",171,"0","1","0","1","1","0","0",30,48922273.0962897,7491445.33968615,1367744.53362102,38496408.4283493,65788155.6205288,15.3129543366502,84,FALSE,FALSE,"0101","100",0.608575564205267,0.11832665316488,0.619972107595947,0.314426217581035,80,38.28125,FALSE
"0111101",188,"0","1","1","1","1","0","1",30,48972713.4419314,7687629.01932392,1403562.60920501,39380831.3814708,66983907.3343701,15.6977804148822,85,FALSE,FALSE,"0111","101",0.610199023980863,0.128065211605744,0.623493021044199,0.320918736555792,81,37.5,FALSE
"1111000",247,"1","1","1","1","0","0","0",30,49174680.1250093,7031469.15824747,1283764.75679133,42247802.0564319,66319432.5740946,14.2989626782979,87,FALSE,FALSE,"1111","000",0.616699470831812,0.0926661857953638,0.623622689864712,0.302279499809943,82,36.71875,FALSE
"1101001",232,"1","1","0","1","0","0","1",30,49360434.3771903,6149696.82309381,1122775.89060878,44061537.4290158,66740415.1041991,12.4587575062662,89,FALSE,FALSE,"1101","001",0.62267810862117,0.0460972378349163,0.624382080373906,0.276729586149418,83,35.9375,FALSE
"0101000",167,"0","1","0","1","0","0","0",30,49104006.7587943,7430181.36062261,1356559.31252248,41305676.5554321,65136013.4512331,15.1315174688711,86,FALSE,FALSE,"0101","000",0.614424796346612,0.113735141206252,0.624862795108479,0.314011003262396,84,35.15625,FALSE
"1101101",236,"1","1","0","1","1","0","1",30,49473246.2799674,7117414.99852917,1299456.24860668,40265530.980671,67432408.8691402,14.3863917040171,90,FALSE,FALSE,"1101","101",0.626309043025706,0.0948786987318708,0.633454800951756,0.307450836449405,85,34.375,FALSE
"1111011",250,"1","1","1","1","0","1","1",30,48232007.6413241,10175133.5782008,1857716.72880295,41512855.3477005,93190270.0377694,21.0962265014302,80,FALSE,FALSE,"1111","011",0.586358860763537,0.264680388376587,0.643329170477365,0.393351777331367,86,33.59375,FALSE
"1101011",234,"1","1","0","1","0","1","1",30,49925631.0520625,6760637.47477134,1234317.88268234,42342415.0153299,64637395.2952677,13.5414161670212,93,FALSE,FALSE,"1101","011",0.640869381010015,0.0734954190800868,0.645069872294403,0.300445003852058,87,32.8125,FALSE
"0111010",185,"0","1","1","1","0","1","0",30,49839750.4023698,8596626.12597279,1569522.01587785,40736819.4161297,75759892.6460786,17.2485336635314,92,FALSE,FALSE,"0111","010",0.638105248875226,0.167309176590423,0.659674669222246,0.355627605504344,88,32.03125,FALSE
"1001111",206,"1","0","0","1","1","1","1",30,49279762.4392802,10514567.2532695,1919688.55567362,41249764.9269051,96820288.8389247,21.3364812101621,88,FALSE,FALSE,"1001","111",0.620081622721832,0.270760367499696,0.67661835287399,0.41048886958855,89,31.25,FALSE
"0001010",137,"0","0","0","1","0","1","0",30,50722552.7918833,8047046.56409616,1469182.97481664,43835037.0922017,79896596.0204399,15.8648295899332,97,FALSE,FALSE,"0001","010",0.666518895747426,0.132292623015088,0.679520990472392,0.345983132108024,90,30.46875,FALSE
"1101000",231,"1","1","0","1","0","0","0",30,50850554.5057543,7931742.14333333,1448131.36407268,41319887.4276827,72648832.7678294,15.5981428726323,98,FALSE,FALSE,"1101","000",0.670638725439971,0.125543745200549,0.682288452209715,0.343581737296318,91,29.6875,FALSE
"0101011",170,"0","1","0","1","0","1","1",30,50591703.0794342,9212891.28564324,1682036.12566319,41615330.8793601,79948605.483226,18.2102809845679,95,FALSE,FALSE,"0101","011",0.662307401117347,0.191647528435722,0.689477968270441,0.379911477508372,92,28.90625,FALSE
"0111111",190,"0","1","1","1","1","1","1",30,50487956.4318448,9474313.73108467,1729765.11579867,37033270.9993335,67355006.2083981,18.7654926058937,94,FALSE,FALSE,"0111","111",0.658968238645885,0.205697929713539,0.690326573320552,0.387006053286477,93,28.125,FALSE
"1101111",238,"1","1","0","1","1","1","1",30,50612674.3082278,9902151.90247429,1807877.32160929,40428096.9526772,89982456.8335925,19.5645696217727,96,FALSE,FALSE,"1101","111",0.662982375603705,0.225919683534485,0.70041797076421,0.400744760362173,94,27.34375,FALSE
"0111000",183,"0","1","1","1","0","0","0",30,51051070.0102792,9982602.36533986,1822565.49936702,40787358.286603,75411449.62986,19.5541491360119,101,FALSE,FALSE,"0111","000",0.677092465037473,0.225655978668044,0.713704999925847,0.406230573215816,95,26.5625,FALSE
"0011101",156,"0","0","1","1","1","0","1",30,46227684.9610309,13938165.6671767,2544749.2487189,37889082.9237947,116391324.466563,30.1511219498149,69,FALSE,FALSE,"0011","101",0.521848255069342,0.493827095130793,0.718464196188115,0.505035559106213,96,25.78125,FALSE
"1111101",252,"1","1","1","1","1","0","1",30,50989844.8356661,10464429.9548228,1910534.77922973,42954123.1761831,82571472.394579,20.5225765807845,100,FALSE,FALSE,"1111","101",0.675121887576641,0.250163380323311,0.719980055237527,0.420146783224643,97,25,FALSE
"0011010",153,"0","0","1","1","0","1","0",30,51987038.437325,8519588.94373617,1555457.01505197,41389835.2046212,69511637.1153077,16.3879097556351,108,FALSE,FALSE,"0011","010",0.707217300091745,0.145529893177101,0.722035497297186,0.370204855942959,98,24.21875,FALSE
"0001000",135,"0","0","0","1","0","0","0",30,51579722.7088499,9652468.12517664,1762291.50925295,42395079.6925128,78924403.4587869,18.7136875079022,105,FALSE,FALSE,"0001","000",0.694107542560657,0.204386929750535,0.72357397527305,0.400275174874584,99,23.4375,FALSE
"1011010",217,"1","0","1","1","0","1","0",30,51540752.4979042,10012088.2931196,1827948.868625,40285260.2141746,72584490.7140635,19.4255764766467,103,FALSE,FALSE,"1011","010",0.692853257541155,0.222402268932785,0.727673282257801,0.410582664376133,100,22.65625,FALSE
