run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate
2352,1,0,0,1,1,1,0,12
1174,0,1,0,0,1,1,1,4
1248,0,1,0,1,0,0,1,18
484,0,0,1,0,0,0,0,4
2947,1,1,0,0,0,1,0,7
1863,0,1,1,1,1,1,0,3
276,0,0,0,1,0,0,1,6
3519,1,1,1,0,1,0,1,9
85,0,0,0,0,0,1,0,25
2231,1,0,0,1,0,1,0,11
395,0,0,0,1,1,0,1,5
1134,0,1,0,0,1,0,1,24
3268,1,1,0,1,1,0,0,28
1869,0,1,1,1,1,1,0,9
1684,0,1,1,1,0,0,0,4
3101,1,1,0,0,1,1,1,11
942,0,0,1,1,1,1,1,12
555,0,0,1,0,0,1,0,15
2784,1,0,1,1,1,0,0,24
1735,0,1,1,1,0,0,1,25
3721,1,1,1,1,1,0,0,1
2127,1,0,0,0,1,1,0,27
1494,0,1,1,0,0,0,1,24
2072,1,0,0,0,1,0,1,2
2068,1,0,0,0,1,0,0,28
655,0,0,1,0,1,0,1,25
1010,0,1,0,0,0,0,1,20
2970,1,1,0,0,0,1,0,30
2627,1,0,1,0,1,1,1,17
2739,1,0,1,1,0,1,1,9
968,0,1,0,0,0,0,0,8
2582,1,0,1,0,1,1,0,2
1701,0,1,1,1,0,0,0,21
440,0,0,0,1,1,1,0,20
2421,1,0,1,0,0,0,0,21
3008,1,1,0,0,1,0,0,8
2430,1,0,1,0,0,0,0,30
199,0,0,0,0,1,1,0,19
2728,1,0,1,1,0,1,0,28
3360,1,1,0,1,1,1,1,30
568,0,0,1,0,0,1,0,28
735,0,0,1,1,0,0,0,15
2516,1,0,1,0,0,1,1,26
1476,0,1,1,0,0,0,1,6
1054,0,1,0,0,0,1,1,4
318,0,0,0,1,0,1,0,18
242,0,0,0,1,0,0,0,2
1922,1,0,0,0,0,0,0,2
2540,1,0,1,0,1,0,0,20
2995,1,1,0,0,0,1,1,25
3719,1,1,1,1,0,1,1,29
2223,1,0,0,1,0,1,0,3
2465,1,0,1,0,0,1,0,5
1596,0,1,1,0,1,0,1,6
2054,1,0,0,0,1,0,0,14
678,0,0,1,0,1,1,0,18
2442,1,0,1,0,0,0,1,12
75,0,0,0,0,0,1,0,15
160,0,0,0,0,1,0,1,10
1433,0,1,0,1,1,1,1,23
1890,0,1,1,1,1,1,0,30
187,0,0,0,0,1,1,0,7
1365,0,1,0,1,1,0,1,15
2507,1,0,1,0,0,1,1,17
3365,1,1,1,0,0,0,0,5
371,0,0,0,1,1,0,0,11
3500,1,1,1,0,1,0,0,20
1244,0,1,0,1,0,0,1,14
1363,0,1,0,1,1,0,1,13
869,0,0,1,1,1,0,0,29
52,0,0,0,0,0,0,1,22
3826,1,1,1,1,1,1,1,16
1004,0,1,0,0,0,0,1,14
1442,0,1,1,0,0,0,0,2
626,0,0,1,0,1,0,0,26
3754,1,1,1,1,1,0,1,4
1774,0,1,1,1,0,1,1,4
374,0,0,0,1,1,0,0,14
874,0,0,1,1,1,0,1,4
3427,1,1,1,0,0,1,0,7
1806,0,1,1,1,1,0,0,6
3780,1,1,1,1,1,0,1,30
3199,1,1,0,1,0,1,0,19
1700,0,1,1,1,0,0,0,20
2597,1,0,1,0,1,1,0,17
3149,1,1,0,1,0,0,0,29
695,0,0,1,0,1,1,1,5
2879,1,0,1,1,1,1,1,29
425,0,0,0,1,1,1,0,5
1765,0,1,1,1,0,1,0,25
50,0,0,0,0,0,0,1,20
2535,1,0,1,0,1,0,0,15
811,0,0,1,1,0,1,1,1
2746,1,0,1,1,0,1,1,16
