"tick_count","duration_ns","mean_interval_ns","sd_interval_ns","mean_heat","max_heat","mean_hot_words","max_hot_words","mean_jitter_ns","sd_jitter_ns","run_id","init_script","replicate","cv_interval"
24,5711948,21890325938154.3,107240257347298,0.000343041666666667,0.000657,6.58333333333333,14,21890325928154.3,107240257347298,55,"init-l8-volatile.4th",25,4.89897946929976
24,6327203,21890326207680.7,107240258650996,0.000323291666666667,0.000721,6.08333333333333,13,21890326197680.7,107240258650996,56,"init-l8-stable.4th",1,4.89897946853659
24,5757888,21890326448268.2,107240259837826,0.000334833333333333,0.000882,6.20833333333333,14,21890326438268.2,107240259837826,57,"init-l8-transition.4th",5,4.89897946891102
26,6953087,20206455459200,103033110308071,0.000343038461538462,0.00069,6.38461538461539,14,20206455449200,103033110308071,58,"init-l8-temporal.4th",25,5.0990194948397
25,7241167,21014713968020.3,105073569469760,0.00031836,0.000656,6.56,13,21014713958020.3,105073569469760,59,"init-l8-transition.4th",17,4.99999998237703
24,5857102,21890327293537.3,107240263968609,0.000330958333333333,0.000766,6.875,14,21890327283537.3,107240263968609,60,"init-l8-diverse.4th",15,4.89897946844631
24,6349446,21890327563043.9,107240265277530,0.000326375,0.00073,6.04166666666667,13,21890327553043.9,107240265277530,61,"init-l8-diverse.4th",18,4.89897946792617
25,6211355,21014714714130.4,105073573182980,0.0003314,0.000652,6.32,14,21014714704130.4,105073573182980,62,"init-l8-volatile.4th",11,4.99999998155235
24,6166883,21890328083601.7,107240267841389,0.000339375,0.000703,6.625,14,21890328073601.7,107240267841389,63,"init-l8-stable.4th",4,4.89897946855003
25,6830658,21014715235947.3,105073575818059,0.00033532,0.00067,6.36,14,21014715225947.3,105073575818059,64,"init-l8-transition.4th",9,4.99999998278932
24,5694726,21890328609101.1,107240270434472,0.000328375,0.000687,6.20833333333333,14,21890328599101.1,107240270434472,65,"init-l8-diverse.4th",1,4.89897946940301
25,6014994,21014715711503.2,105073578187976,0.00032652,0.000711,6.44,14,21014715701503.2,105073578187976,66,"init-l8-diverse.4th",13,4.9999999824152
24,6613375,21890329139705.2,107240273038333,0.000328708333333333,0.000816,6.58333333333333,15,21890329129705.2,107240273038333,67,"init-l8-volatile.4th",15,4.89897946960596
26,6488000,20206457926433.2,103033122888143,0.000338846153846154,0.000671,6.46153846153846,14,20206457916433.2,103033122888143,68,"init-l8-stable.4th",11,5.09901949482002
25,6591816,21014716510134.7,105073582172879,0.0003238,0.000764,6.04,14,21014716500134.7,105073582172879,69,"init-l8-diverse.4th",27,4.99999998202238
25,6243377,21014716761476.9,105073583434849,0.00032296,0.000679,6.44,13,21014716751476.9,105073583434849,70,"init-l8-temporal.4th",11,4.99999998227261
24,5727959,21890330197681.8,107240278209743,0.000330458333333333,0.000779,6.5,14,21890330187681.8,107240278209743,71,"init-l8-transition.4th",6,4.89897946907624
24,6560719,21890330474663,107240279562330,0.00034275,0.000683,6.16666666666667,12,21890330464663,107240279562330,72,"init-l8-stable.4th",23,4.89897946887807
24,5888350,21890330722655.7,107240280778396,0.000338708333333333,0.000793,6.5,14,21890330712655.7,107240280778396,73,"init-l8-diverse.4th",16,4.89897946893081
25,6201869,21014717746013.6,105073588374003,0.00033308,0.000726,5.88,12,21014717736013.6,105073588374003,74,"init-l8-diverse.4th",21,4.99999998305641
25,6560787,21014718020342.5,105073589698884,0.00032368,0.000655,6.72,13,21014718010342.5,105073589698884,75,"init-l8-transition.4th",3,4.99999998083115
24,5854903,21890331506652,107240284624717,0.000325625,0.000799,6.79166666666667,14,21890331496652,107240284624717,76,"init-l8-omni.4th",26,4.8989794691839
